UPC,ItemNumber,ItemDesc,IMAPPrice,Promo1Price,Promo1Start,Promo1End
045242002436,2997-22,M18 FUEL HD/ID- COMBO,399,,,
045242345946,48-11-1850,M18 XC5.0 BATTERY,159,,,
045242502240,2767-22,"GEN II HTIW 1/2"" RING KIT",479,,,
045242527854,2892-22CT,M18 COMPACT BRUSHLESS DD/ID COMBO,229,,,
045242548378,2825-21ST,M18 FUEL POWER HEAD STRING TRIMMER KIT,299,,,
045242159338,2691-22,M18 COMBO KIT DRL/IMPACT W/BAG,199,169,9/5/2022,10/23/2022
045242533114,48-11-1862,M18 HIGH OUTPUT XC6.0 BATTERY 2PK,279,,,
045242350506,48-11-1852,M18 XC5.0 BATTERY 2-PACK,249,,,
045242002337,2804-22,"M18 FUEL 1/2"" HAMMER DRILL KIT",329,,,
045242586172,2823-22HD,M18 FUEL 21 SELF PROPELLED MOWER KIT,1099,,,
045242502233,2767-20,"GEN II HTIW 1/2"" RING BARE",279,,,
045242573158,2922-22,M18 FL PRESS TOOL ONEKEY CTS KIT,3829.99,,,
045242519200,48-11-1812,M18 HIGH OUTPUT HD12.0 BATTERY,249,,,
045242288311,2473-22,M12 PRESS TOOL KIT,2259.97,,,
045242505999,2724-20,M18 FUEL BLOWER BARE,179,,,
045242566280,2880-20,M18 FUEL PADDLE SAG,199,,,
045242540990,2746-20,M18 FUEL 18GA NAILER BARE,299,,,
045242519231,48-11-1880,M18 HIGH OUTPUT XC8.0 BATTERY,199,,,
045242533381,48-11-1865,M18 HIGH OUTPUT XC6.0 BATTERY,179,,,
045242606917,3000-21,M18 FUEL ST/BL COMBO KIT,449,,,
045242506019,2724-21HD,M18 FUEL BLOWER KIT,349,299,8/1/2022,10/30/2022
045242002344,2804-20,"M18 FUEL 1/2"" HAMMER DRILL-BT",199,,,
045242350636,48-59-1850,M18 XC5.0 STARTER KIT,199,,,
045242482320,2727-21HD,M18 FUEL CHAINSAW KIT,499,,,
045242502776,2719-20,M18 FUEL HACKZALL (BARE),169,,,
045242237203,2494-22,M12 DRILL/IMPACT COMBO KIT,169,129,9/5/2022,10/23/2022
045242534357,2727-20,M18 FUEL CHAINSAW TOOL ONLY,329,299,8/1/2022,10/30/2022
045242574247,2767-21B,"M18 FUEL 1/2"" HTIW KIT W/ CONTRACTOR BAG",379,,,
045242273317,2696-26,M18 6PC TOOL KIT,749,499,8/1/2022,10/30/2022
045242527892,2893-22CX,"M18 Bl 2-TOL COMBO KIT, HMR DRL/ID",299,,,
045242536597,2869-22HD,"M18 FUEL OK 1"" D-HNDL EXT HTIW KIT",1399,,,
045242559176,2821-20,GEN II M18 FUEL SAWZALL (BARE),199,,,
045242313655,2626-20,M18 MULTI TOOL BARE,129,,,
045242567591,0970-20,M18 FUEL PACKOUT 2.5 GAL WET/DRY VAC,199,,,
045242563807,2527-21,M12 FUEL HATCHET PRUNING SAW KIT,269,,,
045242537280,2744-20,M18 FUEL 21  DEGREE FRAMING NAILER BARE,379,,,
045242537303,2745-20,M18 FUEL 30 DEGREE FRAMING NAILER BARE,379,,,
045242257560,2457-20,M12 3/8 IN RATCHET TOOL-BARE,149,,,
045242472628,48-11-2460,M12 XC6.0 BATTERY,119,,,
045242006670,2131-20,M18 ROCKET DUAL POWER TOWER LIGHT,229,179,9/5/2022,10/23/2022
045242286799,48-11-2412,M12 XC3.0 BATTERY 2-PACK,129,,,
045242568925,2962-20,"M18 FUEL 1/2"" MTIW RING BARE",249,,,
045242150434,0880-20,M18 2 GALLON WET/DRY VACUUM,129,,,
045242514441,2853-22,"M18 FUEL 1/4"" HEX IMPACT XC KIT",299,,,
045242539550,2840-20,M18 FUEL TRIM COMPRESSOR BARE TOOL,379,,,
045242561643,2836-20,M18 FUEL MULTI TOOL,229,,,
045242568819,2854-20,"M18 FUEL 3/8"" CPIW RING BARE",219,,,
045242541355,48-11-1837,M18 HIGH OUTPUT CP3.0 BATTERY 2PK,179,119,9/5/2022,10/23/2022
045242158799,2680-20,M18 4 1/2 CUT-OFF/GRINDER,129,,,
045242551934,2912-20,"M18 FUEL 1"" SDS PLUS ROTARY HAMMER BT",349,,,
045242502349,2864-22,"GEN II HTIW WL 3/4"" RING KIT",579,,,
045242352951,2760-20,M18 FUEL SURGE - BARE,169,,,
045242502431,2801-22CT,"M18 CP BL 1/2"" DRILL KIT",199,,,
045242005154,2732-20,"M18 FUEL 7-1/4"" CIRC SAW BARE",249,,,
045242493876,2726-20,M18 FUEL HEDGE TRIMMER BARE,199,,,
045242287659,2646-21CT,M18 2-SPD GREASE GUN - 1CT KIT,299,,,
045242514427,2853-20,"M18 FUEL 1/4"" HEX IMPACT-BT",149,,,
045242515189,2737-20,M18 FUEL D-HANDLE JIG-SAW (BARE),199,,,
045242351138,0886-20,M18 FAN - BARE,99,,,
045242321575,2729-20,M18 FUEL BAND SAW - BARE,379,,,
045242244539,5262-21,"1"" SDS PLUS D-HNDL R.HAM KIT",199,,,
045242541010,2723-20,M18 FUEL COMPACT ROUTER,199,,,
045242544417,2829-20,M18 FUEL COMPACT BANDSAW,329,,,
045242588299,2540-20,M12 23GA PIN NAILER,229,,,
045242270538,2697-22CT,M18 HAMMER DRILL W/IMPACT DR,279,,,
045242541034,2830-20,M18 FUEL REAR HANDLE CIRCLE SAW,279,,,
045242287642,2646-20,M18 2-SPD GREASE GUN - BARE,229,,,
045242002313,2803-22,"M18 FUEL 1/2"" DRILL KIT",319,,,
045242505357,48-22-8426,(2) PACKOUT ROLLING TOOL BOX,139,,,
045242598502,2988-22,M18 FUEL HTIW / MTIW AUTO 2 PC KIT,919,,,
045242616282,2848-20,M18 INFLATOR,179,,,
045242548385,2825-20ST,M18 FUEL POWER HEAD STRING TRIMMER BT,229,,,
045242541232,2505-22,M12 FUEL INSTALLATION DRILL DRV KIT,229,,,
045242593118,2567-20,"M12 FUEL 3/8"" HI-SPEED RATCHET BARE",199,,,
045242333899,2621-20,M18 SAWZALL RECIP SAW TOOL,129,,,
045242006977,2850-22CT,"M18 CP BL 1/4"" HEX IMPACT KIT",199,,,
045242318834,2520-21XC,M12 FUEL HACKZALL 1 BAT KIT,179,,,
045242155965,2630-20,M18 6-1/2 CIRC SAW TOOL ONLY,129,,,
045242521173,2554-20,"M12 FUEL 3/8"" IMP WRENCH BARE",199,,,
045242288755,48-11-1820,M18 CP2.0 BATTERY,99,,,
045242541348,48-59-1880,M18 HIGH OUTPUT XC8.0 STARTER KIT,249,,,
045242544264,2485-20,"M12 FUEL 1/4"" RA DIE GRINDER BT",199,,,
045242572038,2828-21,M18 BRUSHLESS STRING TRIMMER KIT,249,179,7/1/2022,9/30/2022
045242195732,6130-33,4-1/2IN SMALL ANGL GRINDER 7A,79,,,
045242551941,2912-22,"M18 FUEL 1"" SDS PLUS ROTARY HAMMER KIT",599,,,
045242321599,2729-22,M18 FUEL BAND SAW - 2 BAT KIT,669,,,
045242568918,2960-22,"M18 FUEL 3/8"" MTIW RING KIT",459,,,
045242532902,49-16-2720,POLE SAW ATTACHMENT,169,,,
045242542871,0910-20,M18 FUEL 6 GALLON WET/DRY VACUUM,249,,,
045242546138,2560-20,"M12 FUEL 3/8"" LONG REACH RATCHET",249,,,
045242593149,3632-21,M12 GREEN 3 PLANE LASER KIT,599,,,
045242520961,2648-20,M18 RANDOM ORBIT SANDER,129,,,
045242544424,2829-22,M18 FUEL COMPACT BANDSAW KIT,519,,,
